Sample ID,Organism ID,Host species,Host species NCBI tax ID,Latitude,Longitude,Spatial uncertainty,Collection day,Collection month,Collection year,Collection method or tissue,Detection method,Detection target,Detection target NCBI tax ID,Detection outcome,Detection measurement,Detection measurement units,Pathogen,Pathogen NCBI tax id,Organism sex,Dead or alive,Health notes,Life stage,Age,Mass,Length
1_LAL_001,1_LAL_001,Lophuromys sikapusi,83535,-11.079483333333334,8.196283333333334,10,30,11,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.8496835443037976,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.079,0.14
1_LAL_002,1_LAL_002,Crocidura olivieri,214449,-11.079133333333333,8.196283333333334,10,30,11,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.467032967032967,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,unknown,NA,0.039,0.137
1_LAL_003,1_LAL_003,Lemniscomys striatus,121567,-11.0789,8.198683333333333,10,1,12,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.21428571428571425,Optical density 450 - 630,Lassa mammarenavirus,3052310,female,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.055,0.118
1_LAL_004,1_LAL_004,Lophuromys sikapusi,83535,-11.078833333333334,8.198783333333333,10,1,12,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.653846153846154,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.0605,0.138
1_LAL_005,1_LAL_005,Crocidura theresae,361457,-11.080316666666667,8.199316666666666,10,1,12,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.2032967032967034,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,unknown,NA,0.012,0.084
1_LAL_006,1_LAL_006,Mus setulosus,10102,-11.0792,8.196516666666668,10,4,12,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.15934065934065933,Optical density 450 - 630,Lassa mammarenavirus,3052310,female,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.014,0.075
1_LAL_007,1_LAL_007,Mus setulosus,10102,-11.079116666666666,8.196333333333333,10,4,12,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.10989010989010987,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.014,0.078
1_LAL_008,1_LAL_008,Crocidura olivieri,214449,-11.07915,8.1962,10,4,12,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.10989010989010983,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,unknown,NA,0.027,0.12
1_LAL_009,1_LAL_009,Lophuromys sikapusi,83535,-11.079283333333333,8.1988,10,3,12,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.5769230769230769,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.07,0.132
1_LAL_010,1_LAL_010,Lophuromys sikapusi,83535,-11.078916666666666,8.1988,10,3,12,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.489010989010989,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.074,0.139
1_LAL_011,1_LAL_011,Lophuromys sikapusi,83535,-11.078883333333334,8.19885,10,3,12,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,-0.17582417582417575,Optical density 450 - 630,Lassa mammarenavirus,3052310,female,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.055,0.124
1_LAL_012,1_LAL_012,Crocidura olivieri,214449,-11.079483333333334,8.198783333333333,10,3,12,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.30219780219780223,Optical density 450 - 630,Lassa mammarenavirus,3052310,female,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.029,0.119
1_LAL_013,1_LAL_013,Crocidura olivieri,214449,-11.080316666666667,8.199316666666666,10,3,12,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.24175824175824176,Optical density 450 - 630,Lassa mammarenavirus,3052310,female,alive,Length refers to head-body length of trapped rodents and shrews,unknown,NA,0.025,0.117
1_LAL_014,1_LAL_014,Crocidura olivieri,214449,-11.079866666666666,8.198483333333334,10,2,12,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.41416893732970034,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,unknown,NA,0.025,0.114
1_LAL_015,1_LAL_015,Crocidura olivieri,214449,-11.080366666666666,8.198133333333333,10,2,12,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.005449591280653956,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,unknown,NA,0.017,0.093
1_LAL_016,1_LAL_016,Crocidura theresae,361457,-11.0803,8.196816666666667,10,2,12,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.1525885558583106,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,unknown,NA,0.0101,0.089
